id,easting,northing
E27594,506650,316450
50112,277750,148150
564595,394950,371450
049902,422550,470550
E1290,536450,150450
3570,405850,348050
1792,350450,267950
008632,435450,572650
E14893,449150,95250
E4510,508750,138250
E4520,590450,150950
005782,403650,584450
E41311,581650,183450
E2331,477350,286750
920359,400250,628850
1119,370250,237150
030377,432050,514650
E27601,574850,184350
3179,473050,310850
49151,225350,67450
238777TP,553650,206550
083534,433550,372750
3996,473350,333950
47157,238850,61550
559586,399250,404250
E25041,517150,322450
037973,454250,489450
E9360,513650,115650
E9350,530350,123850
248965TP,399550,210450
3860,453850,390350
000032,474850,512850
587552,338550,491250
E7135,516850,409850
E2420,592450,140350
E11820,456750,103550
062046,405750,463950
44215,355050,93950
E24925,572350,196850
3057,429050,314850
E23633,520750,234550
1413,384650,269750
559100R,404450,395850
531172,357650,153350
E2416,526150,325050
E24957,599150,248750
E24947,574950,255050
261602TP,490550,209050
E24790,624950,284150
E7165,492950,319650
53115,368650,145750
E9290,512250,128650
48182,183350,43250
570231,347850,411350
1082,439850,254450
1121,351650,313650
261021TP,449350,195250
1770,453150,265850
602253,360950,542850
288504TP,540050,163050
269627TP,453050,160950
596791,331750,550350
259110TP,458150,221250
E15500,548550,172850
564160,362150,387350
1760,401850,249150
E7420,545350,100750
569848,358150,410250
E5451,609050,127350
E13980,436850,146750
003232,405850,602050
2321SO,514350,105450
3185,414750,278850
E2510,469150,293550
023839,412450,548350
3774,474950,409850
E23535,581350,208650
239258TP,541250,198150
E12821,460550,132150
490001TP,539150,224750
593893,317950,535050
E14900,435050,86550
43206,413150,95150
019356,425350,567250
E22283,555150,280750
026644,381650,529050
3778,413850,310050
E24884,587850,201850
1793,340250,291550
53110,381550,160350
53100,389450,192750
E24703,459750,236450
015347,385850,545550
036225,481050,495050
52148,347650,106250
571479,378350,480250
52203,353750,167950
531101,374350,192850
1602,349550,239650
E25033,535050,396650
008062,429550,582150
47155,249050,59550
E37241,570650,230650
E37051,573850,206750
249744TP,413150,185550
E43041,559450,191450
53114,366150,148050
033108NE,451750,516750
53104,366750,182250
E13261,468250,99250
50199,273550,109750
47159,221250,85850
036487,480950,502150
E24913,590750,216550
E11080,484250,103850
592860,331350,519550
586056,347450,485750
3688,462550,304150
