id,easting,northing
240350TP,518150,214150
278744TP,501650,200050
E2463,524650,309150
E5727,544050,332750
601304,350750,515950
E22231,494150,234350
026958,383850,532050
E24879,579650,194050
240201TP,506450,221750
047163,241450,54250
001165,427050,256450
001155,459550,280250
049106,210950,85650
280826TP,485650,148150
561299,396850,417850
560943,376750,422450
E37081,607250,331450
045102,292750,137850
023164,416850,523950
049105,213250,76550
016140,389850,562850
E25051,540450,372950
287864TP,529850,166250
045158,284950,131350
E802,556450,146350
E24901,604450,214650
025394,432850,555650
603111,369350,577750
592848,331350,515750
E8530,543850,114650
E42961,584550,342250
047166,258450,74150
264254TP,461350,191350
E24746,533250,245250
282290TP,504150,139350
E270,570650,160850
E42991,628350,300950
E42981,605650,299450
282947TP,495250,154350
E7200,479550,295950
287722TP,532150,162350
E14080,451950,150650
E46061,522050,407150
001740,446050,277350
E1681,555350,132150
E27621,578150,185750
050110,272250,125750
003574,443150,333550
E7075,490650,288850
049104,217950,70950
586820,328550,506050
004103,385150,357550
550148,326050,390850
594202,315050,522250
003025,392050,311550
575384,372250,432750
E2410,580950,148250
263541TP,460850,205150
052287,417250,501550
E10500,476950,122950
003100,426550,325950
007292,402050,571050
E12570,446750,123450
244027TP,539250,209750
E21637,536750,265350
257039TP,445750,241750
055R0521E_TG_326,332850,258550
E23500,614950,241450
261923TP,479150,214750
555207,385250,357550
003611,481350,399450
003601,479750,371150
E24889,633750,278550
E37271,568250,241850
589359,320950,494750
E2544,503950,289750
239579TP,544750,183050
586493,339950,483850
E21179,565150,195750
243045TP,547650,231850
558016,400250,371950
001045,433550,273950
E7105,532050,386550
051729,400850,502050
E24756,614450,293150
052101,321250,119750
E22309,586450,284450
E14440,430150,93950
052105,330150,137750
571894,382250,467550
E22400,568050,256050
049172,199750,80450
579167,340850,444950
E23392,592650,330250
E1700,554050,129750
001795,343150,280150
001769,393450,255750
585512,353150,498050
603315,364450,570450
600735,343450,526650
E23657,471250,235750
044213,351750,103150
276651TP,518450,207650
575935,367950,422150
582837,372250,466150
E23205,654050,292450
562417,370950,412650
073422,389350,467150
E23487,609550,254950
047439,388350,491050
003110,399350,358350
001332,346750,299350
E24865,589050,207450
E7270,579750,113250
003346,397350,339550
E3281,602750,162350
001141,393650,208750
573674,365350,452950
E19017,557550,242550
240662TP,511150,227750
558491,405450,388050
059793,458150,452650
013553,371450,547350
050108,279650,115350
E14920,448950,88250
038476,522450,469550
E11461,463050,111850
E24727,571250,321050
576925,345650,428350
300001TP,472850,138350
053107,366350,168750
001409,330350,300450
E8500,529050,131250
283596TP,497650,161150
241243TP,527550,229650
047102,229050,99150
049162,190750,63950
076204,424650,432450
053102,396450,183350
E7120,520850,389350
E4080,611750,155450
287451TP,528250,158150
E12160,454350,116150
053106,391250,175050
052225,343850,151550
265038TP,445650,182950
598147,384550,512150
417417TP,499350,175150
045231,332150,96850
247540TP,507650,176750
074385,398750,450150
035305,482750,510850
001774,363150,271350
E9720,506850,107850
001548,377250,278950
049108,220150,95750
044214,364750,104850
559969,391150,395850
570788,356850,417650
E14940,456750,87150
E22735,577150,236450
E22322,587350,262350
604040,357550,553750
E1300,539350,139950
E1908,510350,381250
001552,386950,293750
003380,417450,389850
E5728,573650,309050
E2578,500150,333650
E4090,612950,159850
068762,466750,497450
E24767,623550,274550
053108,377450,164950
240470TP,524550,210050
243679TP,552450,214150
238097TP,549950,186350
E13590,432850,117250
287141TP,524750,164150
039163,517250,468650
E22218,501550,267450
E7160,483850,306450
E10140,501650,125950
593321,325150,523950
034459,467150,514150
045115,291750,79150
E2450,527450,296250
001087,426750,241050
E42135,509150,371850
290007TP,548250,180850
605936,343650,536150
045166,312850,107450
003641,445950,315850
003349,409450,333850
003861,463350,403150
045113,278850,98750
E24737,597250,273550
052227,336750,143050
003781,409150,288050
247344TP,509950,184650
E13580,430750,133850
574718,387150,439450
043203,380350,125850
562992,382650,304350
289102TP,537750,177150
E1691,540650,135350
032822,433650,526650
613467,336150,568350
E1645,509550,419950
E7130,499550,405250
003603,475950,354150
051102,305650,136250
E7180,574450,114450
E7170,492350,354250
E2476,458350,261950
245176TP,530850,189450
577271,334750,432350
003773,463750,348750
001794,381150,219650
290200TP,548950,155650
600986,355250,511550
005588,430550,586850
560631,387250,424750
E8510,535650,113650
E13560,435750,121650
045157,301950,126850
285630TP,516050,155650
E7070,486650,257350
037239,502850,487550
E6770,572350,121350
007533,414650,571250
082509,426850,385650
924203,398150,652450
003441,438050,359850
E10370,485250,122950
E10360,477250,127050
004942,423550,605950
584098,353550,470550
048105,179450,49450
084532,443250,385750
048155,205950,80650
E14880,442550,85950
043205,404550,95050
561613,388150,418550
243131TP,550250,224350
576578,357450,435250
E2316,499250,324650
E5729,609850,343650
080282,434550,420450
003629,460950,321550
E6760,559650,127950
E44081,571050,243150
E901,552350,141450
054507,439450,498750
021228,384950,539250
022994,408450,525450
052103,355650,111650
E22244,533650,257850
E24920,590050,185050
001603,350150,258750
E7190,556450,103650
573342,371950,454550
046101,277050,56250
048171,170350,19950
003767,439150,347350
E11191,483550,114450
078922,415550,412150
045169,298850,101050
268103TP,430450,182250
075233,405050,433450
254336TP,444450,208650
E2859,492750,333450
606299,338950,556550
E5734,596050,187750
E10000,503450,117850
044104,365350,85850
E44091,579250,232750
476898_TG_333,349550,228450
246847TP,520850,187050
052129,331050,108950
E21589,625950,247550
079621,422050,422450
003683,459750,311450
028502,390950,512150
003026,381550,322450
052223,336250,166450
E24775,641050,284150
E21096,559050,301050
E14850,454850,81050
001713,341350,327550
022163,406350,540750
052147,337550,128650
E23470,638250,260550
E1457,490950,376250
560557,376650,392750
047281,382950,486650
052150,307450,137450
E7040,487650,386850
061431,390150,474250
013878,366550,553050
291477TP,546850,175450
E23518,614750,305350
021028,438950,560650
276036TP,504050,183750
E2382,482650,271150
E5721,498750,365250
E10120,496950,136650
E24187,623350,262850
E6780,588050,112950
E5726,504250,302650
240816TP,519250,220850
050103,248650,111250
047170,235750,74450
531184,384950,148650
E21335,471750,248750
597519,377850,496350
E23420,612650,324350
043105,405150,162150
050194,243250,127350
017651,420250,567350
047108,250950,78450
001813,376850,205750
284703TP,530550,143750
291241TP,545950,165250
E23646,544050,299250
048181,198250,52650
568363,332750,408850
001817,333850,312750
531175,381550,183050
592448,323550,512150
083280,437850,366550
E1928,533350,361650
241790TP,533350,220950
253340TP,418150,220050
585022,346550,505350
256345TP,452350,252550
026090,442550,540850
003178,462650,345050
053532,423650,491550
E8480,551150,123550
E22486,564550,235150
E24952,560550,207550
010660,374950,603050
E24591,569350,274850
043103,407450,140550
287946TP,527850,170150
E2050,567850,135950
E2040,572150,140550
045167,313850,112850
E24585,488750,252650
010312,376150,583250
E14420,431150,102850
E1976,489750,302750
043201,375350,131850
003779,483550,411250
E43545,523450,374350
E5731,504950,259850
035103,476750,516950
E5170,623650,140250
001040,415450,267950
574656,393350,437450
E23440,629750,330750
E24908,582850,190550
039268,515250,461950
592464,322550,513550
014555,368050,564050
001140,398750,219650
288092TP,531550,170850
044132,370750,84450
003771,461350,339350
047112,257350,62050
591419,303550,504550
E24732,602850,295150
569709,363250,412150
050188,252850,144250
045183,274450,136550
003288,420650,293850
046103,275150,65850
E1966,527150,299350
584772,354950,493150
053111,365550,157450
052149,363050,115450
E24930,607250,217850
E21602,567850,206650
E8743,531450,107650
003571,389750,356450
E5723,522450,356750
E1606,507550,338250
034091,462150,522750
575335,377150,440750
605382,335750,532250
E1716,473350,282350
040492,530050,423450
586898,336650,503250
E14430,423350,95750
045208,337550,106050
001761,416350,239250
003775,454350,353650
001112,388850,198450
600140,338950,512150
048169,149250,38250
053101,368550,189350
E46331,533850,374250
077336,394550,431250
003201,431750,298050
E24940,579050,218450
